Name,Type,Category,Country,lat,lon,test
Botifarma,node,pharmacy,DO,18.5265549,-69.8953569,18.5265549 / -69.8953569
Farmacia Rx,node,pharmacy,DO,19.473725,-70.720237,19.473725 / -70.720237
Farmacia Aurora,node,pharmacy,DO,18.5384882,-69.8845274,18.5384882 / -69.8845274
Farmacia Anlly,node,pharmacy,DO,19.4058431,-70.6360701,19.4058431 / -70.6360701
Farmacia Los Tanquecitos,node,pharmacy,DO,18.4597604,-69.6285796,18.4597604 / -69.6285796
Farmacia YNA,node,pharmacy,DO,19.4866335,-70.7188558,19.4866335 / -70.7188558
unknown name,node,pharmacy,DO,18.5528129,-69.9023539,18.5528129 / -69.9023539
Farmacia Inmaculada,node,pharmacy,DO,19.4545729,-70.7005633,19.4545729 / -70.7005633
Farmacia Santa Lucía,node,pharmacy,DO,19.4532993,-70.6983647,19.4532993 / -70.6983647
Farmacia Leticia,node,pharmacy,DO,19.454162,-70.7016421,19.454162 / -70.7016421
Farmacia Grudy,node,pharmacy,DO,19.4545264,-70.7002797,19.4545264 / -70.7002797
Farmacia Yulexis,node,pharmacy,DO,18.4881908,-69.8054445,18.4881908 / -69.8054445
Farmacia Roland,node,pharmacy,DO,18.4787693,-69.822426,18.4787693 / -69.822426
Farmacia R&E,node,pharmacy,DO,18.4773811,-69.8033676,18.4773811 / -69.8033676
Farmacia Luis Miguel,node,pharmacy,DO,18.4734814,-69.7946431,18.4734814 / -69.7946431
Farmacia L&J,node,pharmacy,DO,18.5538681,-69.895414,18.5538681 / -69.895414
Super Farmacia Camille,node,pharmacy,DO,18.4942969,-69.8072495,18.4942969 / -69.8072495
Farmacia Tony,node,pharmacy,DO,18.4809348,-69.8167361,18.4809348 / -69.8167361
Farmacia Lidia,node,pharmacy,DO,19.4664427,-70.6903402,19.4664427 / -70.6903402
Farmacia El Bienstar,node,pharmacy,DO,19.4685208,-70.6924107,19.4685208 / -70.6924107
Farmacia Yamila,node,pharmacy,DO,18.4875535,-69.973078,18.4875535 / -69.973078
Farmacia Nilda,node,pharmacy,DO,18.5444997,-69.9276938,18.5444997 / -69.9276938
Farmacia Leidsa,node,pharmacy,DO,18.5410858,-69.9260764,18.5410858 / -69.9260764
Farmahorro,node,pharmacy,DO,19.4530957,-70.7072923,19.4530957 / -70.7072923
Farma Value,node,pharmacy,DO,19.4486011,-70.6959403,19.4486011 / -70.6959403
unknown name,node,pharmacy,DO,18.5609628,-69.9370929,18.5609628 / -69.9370929
Farmatodo Virginia,node,pharmacy,DO,19.4539405,-70.7055152,19.4539405 / -70.7055152
Farmacia Popular Cristobal,node,pharmacy,DO,18.4224822,-70.1155136,18.4224822 / -70.1155136
unknown name,node,pharmacy,DO,18.4518084,-69.9730393,18.4518084 / -69.9730393
Farmacia Gio,node,pharmacy,DO,19.4450435,-70.6715713,19.4450435 / -70.6715713
Farmacentro,node,pharmacy,DO,19.4510043,-70.681449,19.4510043 / -70.681449
Farmacia Cuesta,node,pharmacy,DO,18.4773339,-69.9277797,18.4773339 / -69.9277797
Farmacia Fontana,node,pharmacy,DO,18.5065033,-69.9586718,18.5065033 / -69.9586718
Farmacias Fuente San Luis,node,pharmacy,DO,19.4555732,-70.6658922,19.4555732 / -70.6658922
Farmacia Villa Olga,node,pharmacy,DO,19.4552815,-70.6751461,19.4552815 / -70.6751461
Farmacia Carol,node,pharmacy,DO,18.4725628,-69.931673,18.4725628 / -69.931673
Farmacia Constanza,node,pharmacy,DO,18.9089708,-70.7473402,18.9089708 / -70.7473402
Farma Blue,node,pharmacy,DO,18.4754498,-69.9384637,18.4754498 / -69.9384637
Farmacia Bernado,node,pharmacy,DO,18.4155099,-70.1112648,18.4155099 / -70.1112648
Farma Xpress,node,pharmacy,DO,18.480288,-69.9411588,18.480288 / -69.9411588
Superfarmacia Nacional,node,pharmacy,DO,19.4517793,-70.7037786,19.4517793 / -70.7037786
unknown name,node,pharmacy,DO,18.497643,-69.7925482,18.497643 / -69.7925482
primium,node,pharmacy,DO,18.4960761,-69.7983651,18.4960761 / -69.7983651
Farmacia Cynthia,node,pharmacy,DO,18.4881378,-69.8888559,18.4881378 / -69.8888559
Farmacia,node,pharmacy,DO,18.4921254,-69.8918286,18.4921254 / -69.8918286
Farmacia Carol Metro Country Club,node,pharmacy,DO,18.4283097,-69.4166031,18.4283097 / -69.4166031
Farmacia Luis Migel,node,pharmacy,DO,18.4734289,-69.7945719,18.4734289 / -69.7945719
Farmacia Greliz,node,pharmacy,DO,18.4918257,-69.7864165,18.4918257 / -69.7864165
FarmaXtra,node,pharmacy,DO,18.4765281,-69.9741763,18.4765281 / -69.9741763
Farmacia Efigenia,node,pharmacy,DO,18.4763485,-69.983488,18.4763485 / -69.983488
Farmacia Pujols,node,pharmacy,DO,19.4745206,-70.6765125,19.4745206 / -70.6765125
Farma Xtra,node,pharmacy,DO,18.5108787,-69.8483384,18.5108787 / -69.8483384
Centro Dental Stetic Plus,node,pharmacy,DO,18.5142169,-69.8435304,18.5142169 / -69.8435304
Farmacia Medicar,node,pharmacy,DO,18.4616377,-69.9519751,18.4616377 / -69.9519751
Farmacia Alianza,node,pharmacy,DO,19.452156,-70.7128002,19.452156 / -70.7128002
Farmacias Los Pinos,node,pharmacy,DO,19.4542956,-70.702148,19.4542956 / -70.702148
Farmacia Yamila,node,pharmacy,DO,18.5058073,-69.9811634,18.5058073 / -69.9811634
Farmacia Los Cerros,node,pharmacy,DO,19.4704072,-70.6837668,19.4704072 / -70.6837668
Farmacia GBC,node,pharmacy,DO,18.5068751,-69.9783166,18.5068751 / -69.9783166
Farmahorro,node,pharmacy,DO,18.466115,-69.9538731,18.466115 / -69.9538731
Farmacia Keisy Omar,node,pharmacy,DO,18.4803183,-70.0009491,18.4803183 / -70.0009491
Farmacity1,node,pharmacy,DO,18.487358,-69.8340798,18.487358 / -69.8340798
Nos Farma,node,pharmacy,DO,18.4859603,-69.8422075,18.4859603 / -69.8422075
Farmacia Boulevar,node,pharmacy,DO,18.4807829,-69.8577813,18.4807829 / -69.8577813
Farmacia Gigante,node,pharmacy,DO,18.5126906,-69.8309643,18.5126906 / -69.8309643
unknown name,node,pharmacy,DO,18.4497473,-69.9670422,18.4497473 / -69.9670422
Farmacia Jerding,node,pharmacy,DO,18.4627642,-69.9578894,18.4627642 / -69.9578894
Farma Xtra,node,pharmacy,DO,18.4644192,-69.9582413,18.4644192 / -69.9582413
Super Farmacia Felicidad,node,pharmacy,DO,18.4831314,-70.000003,18.4831314 / -70.000003
ChaRxles,node,pharmacy,DO,18.4997068,-69.8238242,18.4997068 / -69.8238242
Farmacia Xtra,node,pharmacy,DO,18.4863193,-69.8357979,18.4863193 / -69.8357979
Farmacia Cristiana,node,pharmacy,DO,18.496802,-69.8940264,18.496802 / -69.8940264
Farmacia Ines,node,pharmacy,DO,18.5026034,-69.8856288,18.5026034 / -69.8856288
Farmacia Europa,node,pharmacy,DO,18.5098406,-69.866685,18.5098406 / -69.866685
